starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 18:25:59 2017	1489451159	0	1	2	1
Mon Mar 13 18:25:59 2017	1489451159	0	3	3	3
Mon Mar 13 18:25:59 2017	1489451159	0	4	4	4
Mon Mar 13 18:25:59 2017	1489451159	0	5	5	5
Mon Mar 13 18:25:59 2017	1489451159	0	6	6	6
Mon Mar 13 18:25:59 2017	1489451159	0	8	8	7
Mon Mar 13 18:25:59 2017	1489451159	0	9	9	9
Mon Mar 13 18:25:59 2017	1489451159	0	10	10	10
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:26:00 2017	1489451160	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
Mon Mar 13 18:25:59 2017	1489451159	0	12	12	12
